id,transmit_time,device_id,fLat,fLon,entered_water,left_water,resurfaced,scheduled,remains_at_surface,moved,fH20Temp,nTimeToNxtUpd,fDepthMean,nSOC,low_battery,nDiveCount,fVelocity,fDepthMax,nDiveSeconds,is_backup,created_at,updated_at
132,"2025-05-29 15:34:10",2254,37.471363067627,-121.93994140625,1,,,1,,,,15,,96,,,0.15000000596046,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:04:28.000000Z
136,"2025-05-29 15:49:18",2254,37.471321105957,-121.94016265869,,,,1,,,,15,,96,,,0.15999999642372,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:04:28.000000Z
141,"2025-05-29 16:05:23",2254,37.471271514893,-121.94036865234,,,,1,,,,15,,96,,,0.25,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:04:28.000000Z
143,"2025-05-29 16:20:03",2254,37.471271514893,-121.94036865234,,1,,,,,,0,,96,,,0,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
147,"2025-04-22 19:16:44",2254,37.471099853516,-121.94017791748,1,,,1,,,30.874626159668,15,,100,,,0.0099999997764826,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
151,"2025-04-22 19:30:51",2254,37.471115112305,-121.94022369385,,,,1,,,30.913433074951,15,,100,,,0,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
155,"2025-04-22 19:45:32",2254,37.471115112305,-121.94022369385,,1,,,,,30.728357315063,0,,100,,,0,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
159,"2025-04-22 20:16:40",2254,37.471096038818,-121.9401473999,1,,,1,,,31.188087463379,15,,100,,,0.059999998658895,,,0,2025-06-12T22:33:24.000000Z,2025-06-13T02:04:28.000000Z
163,"2025-04-22 20:30:55",2254,37.471115112305,-121.94023132324,,,,1,,,32.38688659668,15,,100,,,0.050000000745058,,,0,2025-06-12T22:33:24.000000Z,2025-06-13T02:04:28.000000Z
167,"2025-04-22 20:45:50",2254,37.471130371094,-121.94022369385,,,,1,,,32.891803741455,15,,100,,,0,,,0,2025-06-12T22:33:24.000000Z,2025-06-13T02:04:28.000000Z
168,"2025-04-22 21:00:52",2254,37.471103668213,-121.94023132324,,,,1,,,33.186206817627,15,,100,,,0.0099999997764826,,,0,2025-06-12T22:33:25.000000Z,2025-06-13T02:04:28.000000Z
172,"2025-04-22 21:15:14",2254,37.471103668213,-121.94023132324,,1,,,,,33.068965911865,0,,100,,,0,,,0,2025-06-12T22:33:25.000000Z,2025-06-13T02:04:28.000000Z
178,"2025-04-23 16:29:56",2254,37.471282958984,-121.94010925293,1,,,1,,,24.022222518921,15,,100,,,0.28999999165535,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
182,"2025-04-23 16:46:33",2254,37.471298217773,-121.94021606445,,,,1,,,24.011110305786,15,,100,,,0.019999999552965,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
186,"2025-04-23 16:59:52",2254,37.47123336792,-121.9402923584,,,,1,,,23.826639175415,15,,100,,,0.12999999523163,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
190,"2025-04-23 17:14:50",2254,37.471347808838,-121.94027709961,,,,1,,,23.701902389526,15,,100,,,0.079999998211861,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
194,"2025-04-23 17:29:21",2254,37.471347808838,-121.94027709961,,1,,,,,23.623678207397,0,,100,,,0,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
132,"2025-05-29 15:34:10",2254,37.471363067627,-121.93994140625,1,,,1,,,,15,,96,,,0.15000000596046,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:04:28.000000Z
136,"2025-05-29 15:49:18",2254,37.471321105957,-121.94016265869,,,,1,,,,15,,96,,,0.15999999642372,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:04:28.000000Z
141,"2025-05-29 16:05:23",2254,37.471271514893,-121.94036865234,,,,1,,,,15,,96,,,0.25,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:04:28.000000Z
143,"2025-05-29 16:20:03",2254,37.471271514893,-121.94036865234,,1,,,,,,0,,96,,,0,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
147,"2025-04-22 19:16:44",2254,37.471099853516,-121.94017791748,1,,,1,,,30.874626159668,15,,100,,,0.0099999997764826,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
151,"2025-04-22 19:30:51",2254,37.471115112305,-121.94022369385,,,,1,,,30.913433074951,15,,100,,,0,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
155,"2025-04-22 19:45:32",2254,37.471115112305,-121.94022369385,,1,,,,,30.728357315063,0,,100,,,0,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
159,"2025-04-22 20:16:40",2254,37.471096038818,-121.9401473999,1,,,1,,,31.188087463379,15,,100,,,0.059999998658895,,,0,2025-06-12T22:33:24.000000Z,2025-06-13T02:04:28.000000Z
163,"2025-04-22 20:30:55",2254,37.471115112305,-121.94023132324,,,,1,,,32.38688659668,15,,100,,,0.050000000745058,,,0,2025-06-12T22:33:24.000000Z,2025-06-13T02:04:28.000000Z
167,"2025-04-22 20:45:50",2254,37.471130371094,-121.94022369385,,,,1,,,32.891803741455,15,,100,,,0,,,0,2025-06-12T22:33:24.000000Z,2025-06-13T02:04:28.000000Z
168,"2025-04-22 21:00:52",2254,37.471103668213,-121.94023132324,,,,1,,,33.186206817627,15,,100,,,0.0099999997764826,,,0,2025-06-12T22:33:25.000000Z,2025-06-13T02:04:28.000000Z
172,"2025-04-22 21:15:14",2254,37.471103668213,-121.94023132324,,1,,,,,33.068965911865,0,,100,,,0,,,0,2025-06-12T22:33:25.000000Z,2025-06-13T02:04:28.000000Z
178,"2025-04-23 16:29:56",2254,37.471282958984,-121.94010925293,1,,,1,,,24.022222518921,15,,100,,,0.28999999165535,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
182,"2025-04-23 16:46:33",2254,37.471298217773,-121.94021606445,,,,1,,,24.011110305786,15,,100,,,0.019999999552965,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
186,"2025-04-23 16:59:52",2254,37.47123336792,-121.9402923584,,,,1,,,23.826639175415,15,,100,,,0.12999999523163,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
190,"2025-04-23 17:14:50",2254,37.471347808838,-121.94027709961,,,,1,,,23.701902389526,15,,100,,,0.079999998211861,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
194,"2025-04-23 17:29:21",2254,37.471347808838,-121.94027709961,,1,,,,,23.623678207397,0,,100,,,0,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
132,"2025-05-29 15:34:10",2254,37.471363067627,-121.93994140625,1,,,1,,,,15,,96,,,0.15000000596046,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:04:28.000000Z
136,"2025-05-29 15:49:18",2254,37.471321105957,-121.94016265869,,,,1,,,,15,,96,,,0.15999999642372,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:04:28.000000Z
141,"2025-05-29 16:05:23",2254,37.471271514893,-121.94036865234,,,,1,,,,15,,96,,,0.25,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:04:28.000000Z
143,"2025-05-29 16:20:03",2254,37.471271514893,-121.94036865234,,1,,,,,,0,,96,,,0,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
147,"2025-04-22 19:16:44",2254,37.471099853516,-121.94017791748,1,,,1,,,30.874626159668,15,,100,,,0.0099999997764826,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
151,"2025-04-22 19:30:51",2254,37.471115112305,-121.94022369385,,,,1,,,30.913433074951,15,,100,,,0,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
155,"2025-04-22 19:45:32",2254,37.471115112305,-121.94022369385,,1,,,,,30.728357315063,0,,100,,,0,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:04:28.000000Z
159,"2025-04-22 20:16:40",2254,37.471096038818,-121.9401473999,1,,,1,,,31.188087463379,15,,100,,,0.059999998658895,,,0,2025-06-12T22:33:24.000000Z,2025-06-13T02:04:28.000000Z
163,"2025-04-22 20:30:55",2254,37.471115112305,-121.94023132324,,,,1,,,32.38688659668,15,,100,,,0.050000000745058,,,0,2025-06-12T22:33:24.000000Z,2025-06-13T02:04:28.000000Z
167,"2025-04-22 20:45:50",2254,37.471130371094,-121.94022369385,,,,1,,,32.891803741455,15,,100,,,0,,,0,2025-06-12T22:33:24.000000Z,2025-06-13T02:04:28.000000Z
168,"2025-04-22 21:00:52",2254,37.471103668213,-121.94023132324,,,,1,,,33.186206817627,15,,100,,,0.0099999997764826,,,0,2025-06-12T22:33:25.000000Z,2025-06-13T02:04:28.000000Z
172,"2025-04-22 21:15:14",2254,37.471103668213,-121.94023132324,,1,,,,,33.068965911865,0,,100,,,0,,,0,2025-06-12T22:33:25.000000Z,2025-06-13T02:04:28.000000Z
178,"2025-04-23 16:29:56",2254,37.471282958984,-121.94010925293,1,,,1,,,24.022222518921,15,,100,,,0.28999999165535,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
182,"2025-04-23 16:46:33",2254,37.471298217773,-121.94021606445,,,,1,,,24.011110305786,15,,100,,,0.019999999552965,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
186,"2025-04-23 16:59:52",2254,37.47123336792,-121.9402923584,,,,1,,,23.826639175415,15,,100,,,0.12999999523163,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
190,"2025-04-23 17:14:50",2254,37.471347808838,-121.94027709961,,,,1,,,23.701902389526,15,,100,,,0.079999998211861,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
194,"2025-04-23 17:29:21",2254,37.471347808838,-121.94027709961,,1,,,,,23.623678207397,0,,100,,,0,,,0,2025-06-12T22:33:26.000000Z,2025-06-13T02:04:28.000000Z
